Date,Team1,Team2,Winner
2026-01-30,Chicago Blackhawks,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-29,Boston Bruins,Philadelphia Flyers,Boston Bruins
2026-01-29,Buffalo Sabres,Los Angeles Kings,Buffalo Sabres
2026-01-29,Montreal Canadiens,Colorado Avalanche,Montreal Canadiens
2026-01-29,Tampa Bay Lightning,Winnipeg Jets,Tampa Bay Lightning
2026-01-29,New Jersey Devils,Nashville Predators,New Jersey Devils
2026-01-29,New York Rangers,New York Islanders,New York Islanders
2026-01-29,Pittsburgh Penguins,Chicago Blackhawks,Pittsburgh Penguins
2026-01-29,Carolina Hurricanes,Utah Mammoth,Carolina Hurricanes
2026-01-29,Detroit Red Wings,Washington Capitals,Washington Capitals
2026-01-29,St. Louis Blues,Florida Panthers,St. Louis Blues
2026-01-29,Minnesota Wild,Calgary Flames,Minnesota Wild
2026-01-29,Edmonton Oilers,San Jose Sharks,Edmonton Oilers
2026-01-29,Vancouver Canucks,Anaheim Ducks,Vancouver Canucks
2026-01-29,Vegas Golden Knights,Dallas Stars,Dallas Stars
2026-01-29,Seattle Kraken,Toronto Maple Leafs,Seattle Kraken
2026-01-28,New York Islanders,New York Rangers,New York Islanders
2026-01-28,Columbus Blue Jackets,Philadelphia Flyers,Columbus Blue Jackets
2026-01-28,Ottawa Senators,Colorado Avalanche,Ottawa Senators
2026-01-27,Boston Bruins,Nashville Predators,Boston Bruins
2026-01-27,Toronto Maple Leafs,Buffalo Sabres,Buffalo Sabres
2026-01-27,Montreal Canadiens,Vegas Golden Knights,Montreal Canadiens
2026-01-27,Detroit Red Wings,Los Angeles Kings,Los Angeles Kings
2026-01-27,Florida Panthers,Utah Mammoth,Utah Mammoth
2026-01-27,New Jersey Devils,Winnipeg Jets,Winnipeg Jets
2026-01-27,St. Louis Blues,Dallas Stars,Dallas Stars
2026-01-27,Minnesota Wild,Chicago Blackhawks,Minnesota Wild
2026-01-27,Vancouver Canucks,San Jose Sharks,San Jose Sharks
2026-01-27,Seattle Kraken,Washington Capitals,Seattle Kraken
2026-01-26,Tampa Bay Lightning,Utah Mammoth,Tampa Bay Lightning
2026-01-26,New York Rangers,Boston Bruins,New York Rangers
2026-01-26,Philadelphia Flyers,New York Islanders,New York Islanders
2026-01-26,Edmonton Oilers,Anaheim Ducks,Edmonton Oilers
2026-01-25,Toronto Maple Leafs,Colorado Avalanche,Colorado Avalanche
2026-01-25,Seattle Kraken,New Jersey Devils,Seattle Kraken
